q1,q2,k0Mean,k0Upper,k0Lower,k02Sigma,k1Mean,k1Upper,k1Lower,k12Sigma
0.3,0.9,5.358597497936159,5.4731369999077435,5.209700522488467,0.13171823870963806,8.562550253263867,9.528563154748486,7.942383234908316,0.7930899599200849
0.3,0.1,6.323038957793436,7.052702830812535,5.737670164130713,0.6575163333409111,5.3121637442011576,5.412945694187402,5.188443252110156,0.11225122103862306
0.3,0.4,5.51693310259632,5.704530081226224,5.2885109942657165,0.2080095434802538,5.798889696581056,5.991225708654997,5.651763965986503,0.1697308713342469
0.3,0.8,5.315748230325281,5.451438446217222,5.167635591722929,0.14190142724714638,8.242942404959276,9.14586489764753,7.576020351937059,0.7849222728552352
0.5,0.4,6.139173514763365,6.431489118242481,5.954829230899173,0.23832994367165394,5.666118660261253,5.822736411600608,5.495106188862757,0.16381511136892524
0.5,0.8,5.6683764237156,5.838710102736663,5.518186042583657,0.16026203007650297,7.77861961695538,8.62994536579113,7.040751451580176,0.794596957105477
0.5,0.9,5.6542661034031605,5.7958406118358266,5.543868084343802,0.1259862637460123,8.220770601845803,9.13650887367734,7.610108749600161,0.7632000620385893
0.5,0.1,7.506328581406362,8.274458573383562,6.591459143029562,0.8414997151770001,5.256607401644451,5.355958382829787,5.1256304857033115,0.11516394856323764
0.7,0.9,6.068581176862678,6.257436812896904,5.958649083302277,0.1493938647973132,7.790572886226096,8.54309700762735,7.082855618017592,0.7301206948048793
0.7,0.1,7.891869027527614,8.50233111660883,7.331153887193411,0.5855886147077092,5.236497601412164,5.362775404224987,5.105487555282331,0.12864392447132778
0.7,0.4,6.905183309095023,7.235479540187999,6.586496347680056,0.3244915962539716,5.310831676855184,5.561350615221127,5.169041526330154,0.19615454444548686
0.7,0.8,6.175871353727062,6.318415847535333,6.011685234625403,0.15336530645496538,7.170618966073704,7.961762222792869,6.546001466589937,0.707880378101466
0.9,0.8,6.837249147988388,7.048560754128787,6.5856611424622375,0.2314498058332748,6.4240714796168366,7.089410392234192,5.865223166411747,0.6120936129112224
0.9,0.4,7.268416276622959,7.509415521976009,6.968817053817303,0.27029923407935286,5.1129095445133865,5.3214714252312865,4.925094304696958,0.19818856026716425
0.9,0.1,7.737510539276209,8.044200208202298,7.337520549437486,0.35333982938240593,5.07889899487264,5.200201535973847,4.952783171978081,0.12370918199788328
0.9,0.9,6.771044463264161,6.988884418648543,6.606649481954428,0.19111746834705734,6.825487418886078,7.645057411175738,6.188934099229322,0.728061655973208
